id,SKU,Nombre del producto,Modelo,Categoría,Marca,Precio de venta,Costo,Tipo de producto,Unidad de medida,Código de barras,Tipo de producto - Afecta inventario,Imagen del producto
0,1000,DISPLAY SONY XA ULTRA IPS F3213 BLANCO,,DISPLAY COMPLETO,SONY,290,173,Inventariable,PZ,6928032901389,true,
1,10000,FLEX INTERCONEXION MOTO ONE ZOOM 20110-9-3,,FLEXOS,,80,40,Inventariable,PZ,6928032902614,true,
2,10001,CHAROLA SIM SAMSUNG A53,,CHAROLA SIM,,30,4,Inventariable,PZ,6928032902615,true,
3,10002,CHAROLA SIM SAMSUNG A12 / A22,,CHAROLA SIM,,30,4.59,Inventariable,PZ,6928032902616,true,
4,10003,CHAROLA SIM SAMSUNG A10S,,CHAROLA SIM,,50,12.5,Inventariable,PZ,6928032902617,true,
5,10004,FLEX INTERCONEXION MOTO Z2 PLAY,,FLEXOS,,60,21,Inventariable,PZ,6928032902618,true,
6,10005,TAPA TRASERA HONOR 50 VERDE,,TAPAS Y MARCOS,,130,47.5,Inventariable,PZ,6928032902619,true,
7,10006,DISPLAY MOTO ONE 5G XT2075-2 IPS.*,,DISPLAY COMPLETO,MOTO,480,272.5,Inventariable,PZ,6928032902620,true,
9,10008,FLEX INTERCONEXION NOKIA 6.1 MEPL214003A,,FLEXOS,,100,14.25,Inventariable,PZ,6928032902622,true,
10,10009,FLEX INTERCONEXION SONY XA GF-480,,FLEXOS,,100,18,Inventariable,PZ,6928032902623,true,
11,1001,DISPLAY SONY XA ULTRA IPS F3213 VERDE LIMA*,,DISPLAY COMPLETO,SONY,290,201,Inventariable,PZ,6928032901390,true,
12,10010,CC TCL 10 SE,,CENTRO CARGA,,90,17,Inventariable,PZ,6928032902624,true,
13,10011,FLEX INTERCONEXION SONY XA1,,FLEXOS,,70,60,Inventariable,PZ,6928032902625,true,
14,10012,FLEX INTERCONEXION XIAOMI MI A1 D2_LINKFCP,,FLEXOS,,90,55,Inventariable,PZ,6928032902626,true,
15,10013,FLEX INTERCONEXION XIAOMI MI A3 M1906F9SH,,FLEXOS,,60,21,Inventariable,PZ,6928032902627,true,
16,10014,FLEX INTERCONEXION XIAOMI REDMI NOTE 8 M516_MAINFCP,,FLEXOS,,40,5.5,Inventariable,PZ,6928032902628,true,
17,10015,FLEX INTERCONEXION XIAOMI REDMI NOTE 8 PRO 36100G7M0A,,FLEXOS,,70,11.01,Inventariable,PZ,6928032902629,true,
18,10016,FLEX INTERCONEXION ZTE A5 2020,,FLEXOS,,80,15,Inventariable,PZ,6928032902630,true,
19,10017,FLEX INTERCONEXION ZTE V10 HL1905 / V10 VITA,,FLEXOS,,110,29,Inventariable,PZ,6928032902631,true,
20,10018,FLEX INTERCONEXION ZTE V10 VITA,,FLEXOS,,80,14,Inventariable,PZ,6928032902632,true,
21,10019,FLEX INTERCONEXION ZTE V20 SMART 1050,,FLEXOS,,70,21,Inventariable,PZ,6928032902633,true,
22,10020,FLEX INTERCONEXION ZTE V2020 VITA,,FLEXOS,,100,16.25,Inventariable,PZ,6928032902634,true,
23,10021,FLEX INTERCONEXION ZTE V SMART 2050,,FLEXOS,,110,19,Inventariable,PZ,6928032902635,true,
24,10022,FLEX INTERCONEXION ZTE V9 UEGA2,,FLEXOS,,90,70,Inventariable,PZ,6928032902636,true,
25,10023,FLEX INTERCONEXION ZTE V9 VITA 1815UEVA1,,FLEXOS,,110,70,Inventariable,PZ,6928032902637,true,
26,10024,STENCIL JABE IPHONE XS/XS MAX/XR-A12 T:0.12MM,,STENCIL,,160,65,Inventariable,PZ,6928032902638,true,
27,10025,STENCIL JABE IPHONE IP 12/PRO/MAX/MINI-A14 T:0.12MM,,STENCIL,,50,40,Inventariable,PZ,6928032902639,true,
28,10026,TAPA TRASERA SAMSUNG A10S NEGRO,,TAPAS Y MARCOS,,80,21.25,Inventariable,PZ,6928032902640,true,
29,10027,AURICULAR HUAWEI Y5 2018,,AUDIO,,80,21,Inventariable,PZ,6928032902641,true,
30,10028,AURICULAR SAMSUNG A10 M10 A40 A50 A50S A60 A70 A70S A80 A90,,AUDIO,,80,6,Inventariable,PZ,6928032902642,true,
31,10029,AURICULAR HUAWEI P9 LITE,,AUDIO,,60,21,Inventariable,PZ,6928032902643,true,
32,10030,CAMARA FRONTAL HUAWEI P10 LITE OHW8F06,,CAMARAS,,80,70,Inventariable,PZ,6928032902644,true,
33,10031,CAMARA TRASERA HUAWEI P10 LITE OGP0228,,CAMARAS,,100,70,Inventariable,PZ,6928032902645,true,
34,10032,CAMARA FRONTAL MOTO G6 PLUS L4H7F10Z,,CAMARAS,,90,25,Inventariable,PZ,6928032902646,true,
